"party","ame_diff"
"Labour",-0.0197700223579716
"Conservative",-0.00952871036549805
"Labour",-0.0291970282325751
"Conservative",-0.0129644030421534
"Labour",-0.0130918581576797
"Conservative",0.0205143413577387
"Labour",-0.0236669439030533
"Conservative",-0.0244301983596309
"Labour",-0.0473984066229438
"Conservative",-0.00727665012281963
"Labour",-0.024252117293559
"Conservative",-0.0395372789242057
"Labour",-0.0351744781539437
"Conservative",-0.0121350933349771
"Labour",-0.0328663908899047
"Conservative",-0.00580206058956358
"Labour",-0.0148004457301497
"Conservative",0.0181960039641528
"Labour",-0.0141097030009743
"Conservative",-0.00495265147894201
"Labour",-0.0392984095287874
"Conservative",-0.0208523688488561
"Labour",-0.0118897381163733
"Conservative",-0.0262135037331653
